E:\SDC_Data\behavioral_cloning_data\IMG\center_2020_01_03_13_35_56_900.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\left_2020_01_03_13_35_56_900.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\right_2020_01_03_13_35_56_900.jpg,0,0,0,1.19864E-05
E:\SDC_Data\behavioral_cloning_data\IMG\center_2020_01_03_13_35_56_967.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\left_2020_01_03_13_35_56_967.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\right_2020_01_03_13_35_56_967.jpg,0,0,0,1.189378E-05
E:\SDC_Data\behavioral_cloning_data\IMG\center_2020_01_03_13_35_57_035.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\left_2020_01_03_13_35_57_035.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\right_2020_01_03_13_35_57_035.jpg,0,0,0,2.181873E-05
E:\SDC_Data\behavioral_cloning_data\IMG\center_2020_01_03_13_35_57_103.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\left_2020_01_03_13_35_57_103.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\right_2020_01_03_13_35_57_103.jpg,0,0,0,9.782078E-06
E:\SDC_Data\behavioral_cloning_data\IMG\center_2020_01_03_13_35_57_170.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\left_2020_01_03_13_35_57_170.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\right_2020_01_03_13_35_57_170.jpg,0,0,0,4.169166E-06
E:\SDC_Data\behavioral_cloning_data\IMG\center_2020_01_03_13_35_57_239.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\left_2020_01_03_13_35_57_239.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\right_2020_01_03_13_35_57_239.jpg,0,0,0,2.231703E-05
E:\SDC_Data\behavioral_cloning_data\IMG\center_2020_01_03_13_35_57_309.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\left_2020_01_03_13_35_57_309.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\right_2020_01_03_13_35_57_309.jpg,0,0,0,3.198782E-06
E:\SDC_Data\behavioral_cloning_data\IMG\center_2020_01_03_13_35_57_381.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\left_2020_01_03_13_35_57_381.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\right_2020_01_03_13_35_57_381.jpg,0,0.1229592,0,0.001541963
E:\SDC_Data\behavioral_cloning_data\IMG\center_2020_01_03_13_35_57_450.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\left_2020_01_03_13_35_57_450.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\right_2020_01_03_13_35_57_450.jpg,0,0.3001374,0,0.2036263
E:\SDC_Data\behavioral_cloning_data\IMG\center_2020_01_03_13_35_57_520.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\left_2020_01_03_13_35_57_520.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\right_2020_01_03_13_35_57_520.jpg,0,0.5454357,0,0.5852603
E:\SDC_Data\behavioral_cloning_data\IMG\center_2020_01_03_13_35_57_589.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\left_2020_01_03_13_35_57_589.jpg,E:\SDC_Data\behavioral_cloning_data\IMG\right_2020_01_03_13_35_57_589.jpg,0,0.7250211,0,1.061533
